지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
108,서울,2015-05-18,17.7,13.7,456,22.2,1341,,,,,,,11.1,290,1719,7.6,230,1506,3.2,2769,50,,,,,
108,서울,2015-05-19,14.8,13,2353,16.2,1210,8.5,0.5,1732,0.5,1642,1,8,230,1437,5.9,250,651,3.6,3121,230,,,,,
108,서울,2015-05-20,16.3,10.6,501,21.9,1552,,,,,,,9.8,320,1513,5.6,270,1337,3.1,2705,270,,,,,
108,서울,2015-05-21,18.7,12.6,546,26,1427,,,,,,,10.3,230,1457,7.2,230,1306,3.7,3198,230,,,,,
108,서울,2015-05-22,20,13.7,424,27.2,1352,,,,,,,10.3,290,1454,6.7,230,1642,2.9,2485,270,,,,,
108,서울,2015-05-23,20.6,13.6,610,28.3,1547,,,,,,,8.4,250,1942,6.1,250,2002,2.5,2127,250,,,,,
108,서울,2015-05-24,21,14,610,28.5,1517,,,,,,,8,270,1424,5.4,250,1812,2.4,2034,270,,,,,
108,서울,2015-05-25,20.8,14.4,534,28.7,1359,,,,,,,8.5,250,1444,5.6,230,1448,2.7,2309,250,,,,,
108,서울,2015-05-26,21.5,14.1,513,30.3,1444,,,,,,,8.7,270,1455,6.3,270,1704,2.7,2335,270,,,,,
108,서울,2015-05-27,23.2,14.4,536,31.5,1504,,,,,,,7.5,250,1320,4.7,270,1324,2,1730,270,,,,,
108,서울,2015-05-28,24.3,16.7,550,32.2,1323,,,,,,,9,290,1438,6.6,270,1447,2.2,1909,270,,,,,
108,서울,2015-05-29,23.8,18.5,446,29.8,1305,,,,,,,8.4,340,1339,5.5,290,1927,2.5,2127,270,,,,,
108,서울,2015-05-30,19.8,17,2354,23.2,1715,9.92,0.1,723,0.2,652,0.4,7.7,270,1500,4.8,270,1458,2.9,2467,270,,,,,
108,서울,2015-05-31,22.1,15.3,503,30.4,1528,,,,,,,8.1,290,1659,5.5,270,1728,2.2,1936,250,,,,,
108,서울,2015-06-01,21.7,15.8,601,28.5,1312,,,,,,,10.4,200,1455,6.8,230,1425,2.6,2218,270,,,,,
108,서울,2015-06-02,23.1,18.1,411,29.8,1344,,,,,,,10.3,270,1631,6.3,250,1632,2.7,2317,270,,,,,
108,서울,2015-06-03,23.3,17.1,559,29.4,1639,,,,,,,14.4,20,902,7.5,290,1430,3.8,3287,290,,,,,
108,서울,2015-06-04,24.2,17.1,602,31.5,1255,,,,,,,10.8,230,1458,6.6,250,1504,2.6,2230,270,,,,,
108,서울,2015-06-05,19.1,17.5,2300,22,1,10.17,0.5,1353,0.5,1303,1,9.9,200,427,5,230,434,1.7,1509,160,,,,,
108,서울,2015-06-06,22.4,16.4,540,28.9,1523,,,,,,,7.7,230,2311,5.2,230,2311,2.3,2011,50,,,,,
108,서울,2015-06-07,23.4,18.7,450,31.5,1602,,,,,,,10,290,1709,7.6,270,1711,2.3,2019,270,,,,,
108,서울,2015-06-08,22.4,18.2,456,27.8,1503,,,,,,,9.5,270,1736,5.5,290,1717,2.3,1959,270,,,,,
108,서울,2015-06-09,22.2,18.8,249,28.1,1336,,,,,,,9,230,1442,6.1,250,1727,2.9,2514,270,,,,,
108,서울,2015-06-10,25.3,17.6,424,34.9,1519,,,,,,,8.6,250,1802,5.7,270,1650,2.2,1928,290,,,,,
108,서울,2015-06-11,24.6,20.7,429,30.2,1216,5.38,4.5,2308,5.5,2223,7.5,10.4,140,1213,5.4,140,1214,2.8,2407,160,,,,,
108,서울,2015-06-12,23.6,19.4,529,29.9,1547,2.53,0.4,209,0.5,155,0.5,12.5,320,2320,7.8,250,1732,3.8,3299,230,,,,,
108,서울,2015-06-13,24.7,20.1,454,30.9,1344,2.72,0.3,47,0.4,37,0.5,10.2,250,2143,6.1,230,1858,3.2,2794,230,,,,,
108,서울,2015-06-14,22.8,17.8,725,27.7,1348,2.65,6,522,15,512,15.5,12.4,270,524,7.3,290,531,2.7,2375,290,,,,,
108,서울,2015-06-15,24.2,19.6,518,30.6,1443,,,,,,,9.3,270,1642,6,270,1517,2.2,1936,290,,,,,
108,서울,2015-06-16,25,20,516,30.9,1535,,,,,,,8,270,1647,5.4,270,1635,2.4,2116,250,,,,,
108,서울,2015-06-17,23.4,20.2,2359,30.8,1323,2.18,6,2338,10.5,2330,9.5,10.3,230,1419,6.7,250,1425,2.6,2243,50,,,,,
108,서울,2015-06-18,24.8,19.6,540,31.3,1724,3,0.5,1,2.5,1,3,10.1,50,2117,5.1,70,2058,2.7,2291,70,,,,,
108,서울,2015-06-19,24.5,20,451,29.9,1613,,,,,,,9.4,90,237,5.2,70,416,2.9,2491,70,,,,,
108,서울,2015-06-20,19.6,17,2355,22.6,1,11.42,10.5,934,25.5,930,44.5,8.4,270,1113,5.3,270,1209,1.8,1582,50,,,,,
108,서울,2015-06-21,22.4,15.6,505,29.6,1537,,,,,,,7.9,270,1853,5.1,270,1808,2,1703,250,,,,,
108,서울,2015-06-22,24,19.4,426,29.1,1430,,,,,,,9.1,270,1531,5.6,270,1540,2.4,2072,270,,,,,
108,서울,2015-06-23,24.7,19.7,516,31,1530,,,,,,,7.9,270,1752,5,250,1606,2.3,1973,270,,,,,
